Symbol	Motif	col	Target	Shape
APOL1	composite	#caffbf	STAT1 + IRF1	rectangle
ACOT7	ISRE	#ffd6a5	IRF1	ellipse
A2M	GAS	#fdffb6	STAT1	diamond
APOL2	composite	#ffadad	STAT1 + IRF1 + IRF9	rectangle
ACSL5	ISRE	#ffd6a5	IRF1	ellipse
APOL6	composite	#ffadad	STAT1 + IRF1 + IRF9	rectangle
ACY3	ISRE	#66c2a4	IRF1 + IRF9	ellipse
AGFG2	GAS	#fdffb6	STAT1	diamond
BCL2L14	composite	#caffbf	STAT1 + IRF1	rectangle
ADAR	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
AGT	GAS	#fdffb6	STAT1	diamond
AIDA	ISRE	#ffd6a5	IRF1	ellipse
AIG1	GAS	#caffbf	STAT1 + IRF1	diamond
CASP1	composite	#ffd6a5	IRF1	rectangle
AP5Z1	ISRE	#ffd6a5	IRF1	ellipse
ANXA2R	GAS	#fdffb6	STAT1	diamond
CASP8	composite	#ffd6a5	IRF1	rectangle
APOA2	GAS	#fdffb6	STAT1	diamond
CD274	composite	#ffadad	STAT1 + IRF1 + IRF9	rectangle
B2M	ISRE	#ffd6a5	IRF1	ellipse
CFB	composite	#caffbf	STAT1 + IRF1	rectangle
BATF2	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
ASAP1	GAS	#fdffb6	STAT1	diamond
BTN3A1	ISRE	#ffd6a5	IRF1	ellipse
ASXL1	GAS	#fdffb6	STAT1	diamond
CSF1	composite	#caffbf	STAT1 + IRF1	rectangle
BTN3A2	ISRE	#ffd6a5	IRF1	ellipse
CTSO	composite	#ffd6a5	IRF1	rectangle
BTN3A3	ISRE	#ffd6a5	IRF1	ellipse
C5orf15	ISRE	#ffd6a5	IRF1	ellipse
DDX58	composite	#66c2a4	IRF1 + IRF9	rectangle
CASP4	ISRE	#caffbf	STAT1 + IRF1	ellipse
DTX3L	composite	#caffbf	STAT1 + IRF1	rectangle
CASP7	ISRE	#ffd6a5	IRF1	ellipse
BCL6	GAS	#fdffb6	STAT1	diamond
BCLAF1	GAS	#fdffb6	STAT1	diamond
ETV6	composite	#caffbf	STAT1 + IRF1	rectangle
BOD1	GAS	#fdffb6	STAT1	diamond
ETV7	composite	#caffbf	STAT1 + IRF1	rectangle
CEACAM1	ISRE	#ffd6a5	IRF1	ellipse
BTBD1	GAS	#fdffb6	STAT1	diamond
FGL1	composite	#fdffb6	STAT1	rectangle
CMPK2	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
C19orf12	GAS	#fdffb6	STAT1	diamond
C1RL	GAS	#fdffb6	STAT1	diamond
GBP3	composite	#ffadad	STAT1 + IRF1 + IRF9	rectangle
C1S	GAS	#fdffb6	STAT1	diamond
CYTH1	ISRE	#ffd6a5	IRF1	ellipse
C2	GAS	#fdffb6	STAT1	diamond
DDX60	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
C4BPB	GAS	#fdffb6	STAT1	diamond
IFI35	composite	#caffbf	STAT1 + IRF1	rectangle
DDX60L	ISRE	#ffd6a5	IRF1	ellipse
C5	GAS	#fdffb6	STAT1	diamond
IFI6	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
DNAJA1	ISRE	#ffd6a5	IRF1	ellipse
IFIT5	ISRE	#66c2a4	IRF1 + IRF9	ellipse
DNPEP	ISRE	#ffd6a5	IRF1	ellipse
CREBRF	GAS	#fdffb6	STAT1	diamond
IFITM3	composite	#ffadad	STAT1 + IRF1 + IRF9	rectangle
IL15	composite	#ffd6a5	IRF1	rectangle
CUTA	GAS	#fdffb6	STAT1	diamond
ERAP1	ISRE	#ffd6a5	IRF1	ellipse
DDX23	GAS	#fdffb6	STAT1	diamond
IRF2	composite	#ffadad	STAT1 + IRF1 + IRF9	rectangle
FAM111A	ISRE	#ffd6a5	IRF1	ellipse
DEK	GAS	#fdffb6	STAT1	diamond
IRF9	composite	#9bf6ff	STAT1 + IRF9	rectangle
LGALS3BP	composite	#caffbf	STAT1 + IRF1	rectangle
DPAGT1	GAS	#fdffb6	STAT1	diamond
MDK	composite	#ffd6a5	IRF1	rectangle
MVB12A	composite	#ffadad	STAT1 + IRF1 + IRF9	rectangle
GBP1	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
EFNA1	GAS	#fdffb6	STAT1	diamond
MX1	composite	#ffadad	STAT1 + IRF1 + IRF9	rectangle
GBP1P1	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
FANCI	GAS	#fdffb6	STAT1	diamond
MYD88	composite	#caffbf	STAT1 + IRF1	rectangle
FGA	GAS	#fdffb6	STAT1	diamond
NAPA	composite	#ffadad	STAT1 + IRF1 + IRF9	rectangle
GNA13	ISRE	#ffd6a5	IRF1	ellipse
NMI	composite	#caffbf	STAT1 + IRF1	rectangle
PARP14	composite	#ffadad	STAT1 + IRF1 + IRF9	rectangle
GNB4	ISRE	#ffd6a5	IRF1	ellipse
GADD45B	GAS	#fdffb6	STAT1	diamond
PHF11	composite	#ffd6a5	IRF1	rectangle
GCLM	GAS	#fdffb6	STAT1	diamond
PLSCR1	composite	#ffadad	STAT1 + IRF1 + IRF9	rectangle
GSDMD	ISRE	#ffd6a5	IRF1	ellipse
GCNT3	GAS	#fdffb6	STAT1	diamond
PML	composite	#ffd6a5	IRF1	rectangle
GEN1	GAS	#fdffb6	STAT1	diamond
PRRC2C	composite	#ffd6a5	IRF1	rectangle
GNB2	GAS	#fdffb6	STAT1	diamond
H6PD	GAS	#fdffb6	STAT1	diamond
RIPK1	composite	#caffbf	STAT1 + IRF1	rectangle
HABP2	GAS	#fdffb6	STAT1	diamond
RNF213	composite	#ffadad	STAT1 + IRF1 + IRF9	rectangle
RTP4	ISRE	#ffd6a5	IRF1	ellipse
IFIT1	ISRE	#66c2a4	IRF1 + IRF9	ellipse
SAMD9	ISRE	#ffd6a5	IRF1	ellipse
IFIT2	ISRE	#ffd6a5	IRF1	ellipse
HIPK3	GAS	#fdffb6	STAT1	diamond
SERPIND1	composite	#fdffb6	STAT1	rectangle
IFIT3	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
HLA-E	GAS	#ffadad	STAT1 + IRF1 + IRF9	diamond
SMG1	composite	#fdffb6	STAT1	rectangle
HNRNPR	GAS	#fdffb6	STAT1	diamond
SP110	composite	#ffadad	STAT1 + IRF1 + IRF9	rectangle
ISG15	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
SPTBN1	composite	#caffbf	STAT1 + IRF1	rectangle
ISG20	ISRE	#66c2a4	IRF1 + IRF9	ellipse
STX17	composite	#ffd6a5	IRF1	rectangle
KDSR	ISRE	#ffd6a5	IRF1	ellipse
HPX	GAS	#fdffb6	STAT1	diamond
ICAM1	GAS	#fdffb6	STAT1	diamond
LAP3	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
IMPAD1	GAS	#fdffb6	STAT1	diamond
USP18	composite	#ffadad	STAT1 + IRF1 + IRF9	rectangle
LOC153684	ISRE	#ffd6a5	IRF1	ellipse
INTS10	GAS	#fdffb6	STAT1	diamond
VTN	GAS	#fdffb6	STAT1	diamond
MOV10	ISRE	#ffd6a5	IRF1	ellipse
IPO8	GAS	#fdffb6	STAT1	diamond
ZC3HAV1	composite	#ffadad	STAT1 + IRF1 + IRF9	rectangle
IRF1	GAS	#fdffb6	STAT1	diamond
NCOA7	composite	#caffbf	STAT1 + IRF1	rectangle
NEDD1	ISRE	#ffd6a5	IRF1	ellipse
NOD1	ISRE	#ffd6a5	IRF1	ellipse
LSR	GAS	#fdffb6	STAT1	diamond
MAFF	GAS	#fdffb6	STAT1	diamond
MAN1A1	GAS	#caffbf	STAT1 + IRF1	diamond
OAS1	ISRE	#ffd6a5	IRF1	ellipse
MAPKAPK3	GAS	#fdffb6	STAT1	diamond
OAS2	ISRE	#ffd6a5	IRF1	ellipse
MED16	GAS	#fdffb6	STAT1	diamond
OAS3	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
OGFR	ISRE	#ffd6a5	IRF1	ellipse
MITD1	GAS	#fdffb6	STAT1	diamond
OPTN	ISRE	#ffd6a5	IRF1	ellipse
MTPN	GAS	#fdffb6	STAT1	diamond
OTUD4	ISRE	#ffd6a5	IRF1	ellipse
PANX1	ISRE	#ffd6a5	IRF1	ellipse
NAMPT	GAS	#fdffb6	STAT1	diamond
PARP10	ISRE	#ffd6a5	IRF1	ellipse
PCNA	ISRE	#ffd6a5	IRF1	ellipse
NFKB2	GAS	#fdffb6	STAT1	diamond
NFKBIZ	GAS	#caffbf	STAT1 + IRF1	diamond
NNMT	GAS	#fdffb6	STAT1	diamond
PNPT1	ISRE	#66c2a4	IRF1 + IRF9	ellipse
PRKD2	ISRE	#ffd6a5	IRF1	ellipse
NUCB1	GAS	#fdffb6	STAT1	diamond
PRRG4	ISRE	#ffd6a5	IRF1	ellipse
PSMB10	ISRE	#ffd6a5	IRF1	ellipse
OSMR	GAS	#fdffb6	STAT1	diamond
PDE4D	GAS	#fdffb6	STAT1	diamond
PSME1	ISRE	#ffd6a5	IRF1	ellipse
PLEKHB2	GAS	#fdffb6	STAT1	diamond
RBCK1	ISRE	#ffd6a5	IRF1	ellipse
RBM43	ISRE	#ffd6a5	IRF1	ellipse
PROS1	GAS	#fdffb6	STAT1	diamond
PSMB3	GAS	#fdffb6	STAT1	diamond
RAB27A	GAS	#fdffb6	STAT1	diamond
RAD1	GAS	#fdffb6	STAT1	diamond
SEC16B	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
RAP1A	GAS	#fdffb6	STAT1	diamond
SHISA5	composite	#ffadad	STAT1 + IRF1 + IRF9	rectangle
SLC15A3	ISRE	#ffd6a5	IRF1	ellipse
RBM42	GAS	#fdffb6	STAT1	diamond
SLFN12	ISRE	#ffd6a5	IRF1	ellipse
RBM7	GAS	#ffd6a5	IRF1	diamond
SMARCA5	ISRE	#ffd6a5	IRF1	ellipse
RBP4	GAS	#fdffb6	STAT1	diamond
SOCS1	ISRE	#ffd6a5	IRF1	ellipse
SP100	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
RPS6KB2	GAS	#ffd6a5	IRF1	diamond
SP140L	ISRE	#ffd6a5	IRF1	ellipse
SCN9A	GAS	#fdffb6	STAT1	diamond
SDSL	GAS	#fdffb6	STAT1	diamond
STAT1	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
SEPHS2	GAS	#fdffb6	STAT1	diamond
STAT2	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
SERPINB1	GAS	#fdffb6	STAT1	diamond
TAP1	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
SERPING1	GAS	#9bf6ff	STAT1 + IRF9	diamond
TAP2	ISRE	#ffd6a5	IRF1	ellipse
SHC2	GAS	#fdffb6	STAT1	diamond
TAPBP	ISRE	#ffd6a5	IRF1	ellipse
SKI	GAS	#fdffb6	STAT1	diamond
TAPBPL	ISRE	#ffd6a5	IRF1	ellipse
SLC25A18	GAS	#fdffb6	STAT1	diamond
SLC7A2	GAS	#fdffb6	STAT1	diamond
TMEM140	ISRE	#ffadad	STAT1 + IRF1 + IRF9	ellipse
SMPD1	GAS	#fdffb6	STAT1	diamond
TRIM14	ISRE	#ffd6a5	IRF1	ellipse
SOCS3	GAS	#fdffb6	STAT1	diamond
TRIM26	ISRE	#ffd6a5	IRF1	ellipse
SSBP4	GAS	#fdffb6	STAT1	diamond
TRIM44	ISRE	#ffd6a5	IRF1	ellipse
STAT3	GAS	#fdffb6	STAT1	diamond
USF1	ISRE	#ffd6a5	IRF1	ellipse
XAF1	ISRE	#ffd6a5	IRF1	ellipse
ZC3H7B	ISRE	#ffd6a5	IRF1	ellipse
TCIRG1	GAS	#fdffb6	STAT1	diamond
ZFYVE26	ISRE	#ffd6a5	IRF1	ellipse
TNFAIP1	GAS	#fdffb6	STAT1	diamond
TOP1	GAS	#fdffb6	STAT1	diamond
UBE2D1	GAS	#fdffb6	STAT1	diamond
WSB1	GAS	#fdffb6	STAT1	diamond
YPEL2	GAS	#fdffb6	STAT1	diamond
ZNF24	GAS	#fdffb6	STAT1	diamond
